-9.62 -35.183 1 27.17 36.999 200.6 0.14 0.2 0 1.2
-9.62 -35.183 13 27.125 37.024 204.5 0.11 0.2 0 1.1
-9.62 -35.183 33 26.366 37.088 203.1 0.13 0.2 0 1
-9.62 -35.183 77 25.095 37.102 198.3 0.2 0.2 0.01 1
-9.62 -35.183 97 24.276 37.034 198.2 0.23 0.2 0.03 0.9
-9.62 -35.183 124 22.872 36.827 194.7 0.29 0.8 0.08 1.3
-9.62 -35.183 144 20.888 36.475 191.6 0.39 2 0.06 1.7
-9.992 -34.625 2 27.52 36.73 200.6 0.13 0 0 0.7
-9.992 -34.625 72 27.129 37.054 211 0.11 0 0 0.9
-9.992 -34.625 93 26.835 37.181 203.6 0.09 0 0 0.7
-9.992 -34.625 113 25.508 37.227 201.8 0.11 0 0.02 0.6
-9.992 -34.625 194 17.912 35.95 183.7 0.6 5.3 0.02 2.1
-9.992 -34.625 264 13.433 35.291 148.3 1.24 16.7 0 6.1
-9.992 -34.625 354 9.028 34.777 163.1 1.6 22.5 0 11.5
-9.992 -34.625 404 8.014 34.66 153.9 1.89 26.4 0 15.4
-9.992 -34.625 454 7.152 34.623 117.4 2.22 31.9 0 20.2
-9.992 -34.625 513 6.39 34.561 126.5 2.3 32.5 0 22.8
-9.992 -34.625 612 4.921 34.411 184.3 2.17 30.5 0 27.1
-9.992 -34.625 712 4.483 34.391 193.9 2.25 30.7 0 30.1
-9.992 -34.625 811 4.24 34.442 172.6 2.31 32.7 0 34
-9.992 -34.625 911 3.865 34.469 183 2.33 31.8 0 37.7
-9.992 -34.625 1060 3.9 34.608 177.3 2.25 31.2 0 36.2
-9.992 -34.625 1209 4.238 34.774 185.6 2.02 28.2 0 28.6
-9.992 -34.625 1309 4.308 34.851 197.3 1.86 26 0 24.8
-9.992 -34.625 1409 4.267 34.916 214.2 1.68 23.6 0 21.3
-9.992 -34.625 1508 4.166 34.953 228.6 1.54 21.8 0 19.3
-9.992 -34.625 1608 4.043 34.969 239 1.45 20.7 0 18.5
-9.992 -34.625 1708 3.922 34.974 245.1 1.42 20.1 0 18.2
-9.992 -34.625 1758 3.821 34.972 246.4 1.41 19.9 0 18.6
-9.992 -34.625 1808 3.761 34.968 248.5 1.41 19.8 0 18.9
-9.992 -34.625 1908 3.62 34.972 252.9 1.37 19.3 0 19.1
-9.992 -34.625 2007 3.451 34.962 252 1.4 19.6 0 21.3
-9.992 -34.625 2156 3.351 34.958 253.7 1.39 19.5 0 22.4
-9.992 -34.625 2305 3.25 34.953 254.2 1.39 19.5 0 23.6
-9.992 -34.625 2503 3.102 34.945 254.2 1.4 19.6 0 25.4
-9.992 -34.625 2703 2.939 34.935 254.6 1.42 19.5 0 27.8
-9.992 -34.625 3250 2.546 34.918 253.3 1.44 19.8 0 32.4
-9.992 -34.625 3426 2.397 34.898 255 1.47 20.1 0 37.7
-9.992 -34.625 3575 2.249 34.882 251.6 1.53 20.9 0 44.2
-9.992 -34.625 3674 1.972 34.855 245.5 1.66 22.3 0 55.6
-9.992 -34.625 3773 1.839 34.837 237.7 1.74 23.6 0 61.9
-9.907 -34.812 0 27.506 36.712 200.2 0.12 0.1 0 1.5
-9.907 -34.812 54 27.36 36.717 201.5 0.13 0.1 0.01 1.3
-9.907 -34.812 86 26.865 37.136 204.5 0.09 0 0.01 1.3
-9.907 -34.812 120 25.252 37.029 207.4 0.17 0 0 1.3
-9.907 -34.812 190 19.19 36.177 177.2 0.59 4.9 0.03 2.6
-9.907 -34.812 235 15.175 35.532 166.2 0.9 11.3 0.01 4.4
-9.907 -34.812 309 11.757 35.079 144 1.38 19.6 0 8.7
-9.907 -34.812 389 8.926 34.745 149.2 1.73 25.1 0 14.2
-9.907 -34.812 488 5.929 34.461 182.6 1.98 28.1 0 21.5
-9.907 -34.812 558 5.02 34.403 196.9 2.02 28.4 0 25.9
-9.907 -34.812 623 4.817 34.401 190.4 2.09 29.4 0 28.2
-9.907 -34.812 755 4.254 34.437 173.9 2.25 31.6 0 34.4
-9.907 -34.812 904 3.857 34.491 179.5 2.22 30.9 0 38.9
-9.907 -34.812 1105 4.067 34.656 175.6 2.1 29.3 0 34.5
